               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
58,0.033637,0.0086287,0.0030149,0.0452806,0.57604,0.75045,0.67012,0.25918,0.031412,0.0078271,0.0043131,0.007435,0.007435,0.007435
59,0.033489,0.0088537,0.0030183,0.045361,0.61122,0.62138,0.58465,0.24645,0.035645,0.0083061,0.00413,0.00739,0.00739,0.00739
60,0.033973,0.0082923,0.0029704,0.0452357,0.55603,0.24412,0.35954,0.095282,0.043441,0.0095342,0.012041,0.007345,0.007345,0.007345
61,0.031609,0.0085786,0.0027656,0.0429532,0.86433,0.24167,0.42377,0.14827,0.035463,0.0087842,0.0061886,0.0073,0.0073,0.0073
62,0.032959,0.0083062,0.0022708,0.043536,0.58063,0.62093,0.64549,0.25192,0.032395,0.007649,0.0033947,0.007255,0.007255,0.007255
63,0.032457,0.0084194,0.0025962,0.0434726,0.71458,0.51324,0.594,0.19118,0.034911,0.0081507,0.0060206,0.00721,0.00721,0.00721
64,0.031712,0.0080133,0.002455,0.0421803,0.7482,0.41283,0.57319,0.24535,0.033568,0.0077096,0.0063392,0.007165,0.007165,0.007165
65,0.032817,0.0082486,0.0028915,0.0439571,0.76076,0.46827,0.61935,0.21113,0.03619,0.0082137,0.0032412,0.00712,0.00712,0.00712
66,0.032062,0.0079156,0.0023911,0.0423687,0.47328,0.56373,0.62734,0.22834,0.031886,0.0079089,0.0032078,0.007075,0.007075,0.007075
67,0.030631,0.0081029,0.0025247,0.0412586,0.5806,0.52419,0.63035,0.23164,0.035686,0.0083396,0.0089716,0.00703,0.00703,0.00703
68,0.031117,0.0083266,0.002636,0.0420796,0.52957,0.67369,0.65092,0.31821,0.033044,0.0076561,0.0036741,0.006985,0.006985,0.006985
69,0.030913,0.0080791,0.0028144,0.0418065,0.71666,0.4428,0.6073,0.26604,0.031768,0.0074069,0.0074872,0.00694,0.00694,0.00694
70,0.030998,0.0081314,0.0024339,0.0415633,0.62993,0.6448,0.6448,0.24456,0.03349,0.007984,0.005627,0.006895,0.006895,0.006895
71,0.03144,0.0077878,0.0025067,0.0417345,0.42122,0.49658,0.55563,0.21695,0.029833,0.0081929,0.0034368,0.00685,0.00685,0.00685
72,0.029664,0.007896,0.0021454,0.0397054,0.59889,0.56633,0.59418,0.26359,0.031354,0.0086766,0.0056976,0.006805,0.006805,0.006805
73,0.030544,0.0077516,0.0022588,0.0405544,0.63784,0.69687,0.69931,0.26425,0.031111,0.0080745,0.0025244,0.00676,0.00676,0.00676
74,0.02956,0.0077749,0.0022016,0.0395365,0.83281,0.53309,0.63444,0.22338,0.033651,0.0079451,0.0068505,0.006715,0.006715,0.006715
75,0.030324,0.0078526,0.0022935,0.0404701,0.58225,0.37167,0.32088,0.10753,0.033637,0.0084671,0.0083111,0.00667,0.00667,0.00667
76,0.03046,0.0079504,0.0023619,0.0407723,0.48339,0.57496,0.533,0.17981,0.033531,0.0086678,0.0090648,0.006625,0.006625,0.006625
77,0.030152,0.0081468,0.0024578,0.0407566,0.52478,0.56642,0.61567,0.20146,0.032492,0.0087414,0.0034249,0.00658,0.00658,0.00658
78,0.030345,0.0083288,0.0026119,0.0412857,0.57303,0.58139,0.57245,0.26254,0.034163,0.0084389,0.0035675,0.006535,0.006535,0.006535
79,0.030219,0.0077834,0.0022201,0.0402225,0.70232,0.61681,0.69386,0.3259,0.032606,0.0076916,0.0029261,0.00649,0.00649,0.00649
